Column 1,player,team,defense rating
1,Glenn Robinson III,IND,128.8
2,Danuel House Jr.,PHX,107.9
3,Aaron Harrison,DAL,116.8
4,Wayne Ellington,MIA,108.6
5,Will Barton,DEN,108.4
6,LeBron James,CLE,112.1
7,T.J. McConnell,PHI,108.8
8,MarShon Brooks,MEM,98.5
9,Lou Williams,LAC,109.3
10,Jimmy Butler,MIN,106.4
11,Damian Lillard,POR,104.5
12,Jordan Clarkson,CLE,118.2
13,Russell Westbrook,OKC,105.6
14,Bradley Beal,WAS,106.3
15,Jrue Holiday,NOP,104.5
16,CJ McCollum,POR,105.8
17,James Harden,HOU,106.2
18,Gary Harris,DEN,108.4
19,Lonzo Ball,LAL,105.4
20,Devin Booker,PHX,112.2
21,John Wall,WAS,106.1
22,Donovan Mitchell,UTA,101.5
23,Klay Thompson,GSW,105.6
24,Kemba Walker,CHA,108
25,Victor Oladipo,IND,104
26,Shabazz Napier,POR,104.1
27,DeMar DeRozan,TOR,106.5
28,Trevor Ariza,HOU,105.6
29,Austin Rivers,LAC,112.6
30,Wesley Matthews,DAL,111
31,Marcus Smart,BOS,97.5
32,Nick Young,GSW,105.7
33,Ben Simmons,PHI,102.9
34,Tyus Jones,MIN,96.7
35,Joe Young,IND,100
36,Trey Burke,NYK,117.5
37,Lance Stephenson,IND,122.6
38,Terry Rozier,BOS,102.7
39,Tyrone Wallace,LAC,109.1
40,Brandon Ingram,LAL,107.5
41,Tim Hardaway Jr.,NYK,110.1
42,Yogi Ferrell,DAL,105.1
43,Jamel Artis,ORL,138.2
44,Kentavious Caldwell-Pope,LAL,107.4
45,Jeff Teague,MIN,110
46,Eric Gordon,HOU,102.6
47,Quinn Cook,GSW,108.8
48,Malcolm Brogdon,MIL,106.5
49,Tyreke Evans,MEM,108.9
50,Raymond Felton,OKC,107.8
