Column 1,player,team,defense rating
1,Jimmy Butler,CHI,100.5
2,Norris Cole,MIA,107.6
3,Brian Roberts,NOH,113
4,Sasha Pavlovic,POR,86.1
5,DeAndre Liggins,OKC,82.1
6,Lou Williams,ATL,102.1
7,Sebastian Telfair,TOR,94.7
8,Kobe Bryant,LAL,106.6
9,Damian Lillard,POR,107.8
10,Nicolas Batum,POR,107.8
11,Jarrett Jack,GSW,101.6
12,James Harden,HOU,105.9
13,Stephen Curry,GSW,104.7
14,Daequan Cook,CHI,113.2
15,Will Barton,POR,108.9
16,Jerryd Bayless,MEM,96.8
17,Paul George,IND,98.1
18,Beno Udrih,ORL,105
19,Monta Ellis,MIL,104.3
20,Jrue Holiday,PHI,103.1
21,Rajon Rondo,BOS,102
22,DeMar DeRozan,TOR,105.1
23,Joe Johnson,BKN,103.8
24,Deron Williams,BKN,105.5
25,Brandon Jennings,MIL,106.2
26,Kendall Marshall,PHX,121.2
27,Arron Afflalo,ORL,109.2
28,JJ Redick,MIL,106.3
29,Jordan Crawford,BOS,100.4
30,Klay Thompson,GSW,104.2
31,O.J. Mayo,DAL,105.5
32,Jameer Nelson,ORL,107.6
33,Evan Turner,PHI,104.5
34,Carlos Delfino,HOU,108.9
35,Steve Blake,LAL,98.8
36,Russell Westbrook,OKC,101.2
37,Kemba Walker,CHA,109
38,Wesley Matthews,POR,108.8
39,Ty Lawson,DEN,104.6
40,Marco Belinelli,CHI,106.4
41,Andre Iguodala,DEN,102.2
42,Kyrie Irving,CLE,108.7
43,J.J. Barea,MIN,97.9
44,Dwyane Wade,MIA,100.9
45,Andre Miller,DEN,106.6
46,George Hill,IND,97.9
47,Mike Conley,MEM,96
48,Greivis Vasquez,NOH,109.3
49,Eric Bledsoe,LAC,100
50,Jodie Meeks,LAL,106.9
