Column 1,player,team,defense rating
1,Brandon Jennings,MIL,106.3
1,Jeff Teague,ATL,101
1,John Wall,WAS,106.2
1,Paul George,IND,99.1
1,Russell Westbrook,OKC,101.5
6,Jrue Holiday,PHI,96.9
7,Mario Chalmers,MIA,96.4
7,Wesley Johnson,MIN,106.2
9,DeMar DeRozan,TOR,103.6
9,Devin Harris,UTA,104.6
11,Andre Iguodala,PHI,97
11,Arron Afflalo,DEN,105.2
11,Landry Fields,NYK,96.9
11,Steve Nash,PHX,103.8
15,Mike Conley,MEM,99.8
15,Ty Lawson,DEN,104
15,Tyreke Evans,SAC,109.6
18,Brandon Knight,DET,105.6
18,Chris Paul,LAC,104.1
18,Jared Dudley,PHX,105.1
18,Joe Johnson,ATL,100.8
18,Tony Parker,SAS,98.4
23,Kobe Bryant,LAL,102.1
23,Monta Ellis,MIL,106.1
25,Jameer Nelson,ORL,103.9
25,Tony Allen,MEM,96.8
27,Darren Collison,IND,101.9
27,Raymond Felton,POR,102.9
29,Deron Williams,NJN,108.5
29,Gerald Henderson,CHA,108.8
29,Marco Belinelli,NOH,104.4
32,Jason Richardson,ORL,102.4
33,Carlos Delfino,MIL,108.6
33,Jose Calderon,TOR,105.9
33,Luke Ridnour,MIN,106.2
33,Rajon Rondo,BOS,97.9
33,Wesley Matthews,POR,102.1
38,Anthony Parker,CLE,109.9
38,Kyrie Irving,CLE,109.8
38,Marcus Thornton,SAC,108.7
41,Jodie Meeks,PHI,95.1
42,Dwyane Wade,MIA,97.8
43,Jason Kidd,DAL,99.5
43,Randy Foye,LAC,102.7
43,Rodney Stuckey,DET,105.2
46,MarShon Brooks,NJN,109.1
47,D.J. Augustin,CHA,112.1
48,Derek Fisher,OKC,98.7
48,Ronnie Brewer,CHI,98.3
50,Ray Allen,BOS,98.9
1,Brandon Jennings,MIL,106.3
1,Jeff Teague,ATL,101
1,John Wall,WAS,106.2
1,Paul George,IND,99.1
1,Russell Westbrook,OKC,101.5
6,Jrue Holiday,PHI,96.9
7,Mario Chalmers,MIA,96.4
7,Wesley Johnson,MIN,106.2
9,DeMar DeRozan,TOR,103.6
9,Devin Harris,UTA,104.6
11,Andre Iguodala,PHI,97
11,Arron Afflalo,DEN,105.2
11,Landry Fields,NYK,96.9
11,Steve Nash,PHX,103.8
15,Mike Conley,MEM,99.8
15,Ty Lawson,DEN,104
15,Tyreke Evans,SAC,109.6
18,Brandon Knight,DET,105.6
18,Chris Paul,LAC,104.1
18,Jared Dudley,PHX,105.1
18,Joe Johnson,ATL,100.8
18,Tony Parker,SAS,98.4
23,Kobe Bryant,LAL,102.1
23,Monta Ellis,MIL,106.1
25,Jameer Nelson,ORL,103.9
25,Tony Allen,MEM,96.8
27,Darren Collison,IND,101.9
27,Raymond Felton,POR,102.9
29,Deron Williams,NJN,108.5
29,Gerald Henderson,CHA,108.8
29,Marco Belinelli,NOH,104.4
32,Jason Richardson,ORL,102.4
33,Carlos Delfino,MIL,108.6
33,Jose Calderon,TOR,105.9
33,Luke Ridnour,MIN,106.2
33,Rajon Rondo,BOS,97.9
33,Wesley Matthews,POR,102.1
38,Anthony Parker,CLE,109.9
38,Kyrie Irving,CLE,109.8
38,Marcus Thornton,SAC,108.7
41,Jodie Meeks,PHI,95.1
42,Dwyane Wade,MIA,97.8
43,Jason Kidd,DAL,99.5
43,Randy Foye,LAC,102.7
43,Rodney Stuckey,DET,105.2
46,MarShon Brooks,NJN,109.1
47,D.J. Augustin,CHA,112.1
48,Derek Fisher,OKC,98.7
48,Ronnie Brewer,CHI,98.3
50,Ray Allen,BOS,98.9
