Column 1,player,team,defense rating
1,Vander Blue,LAL,123.2
2,Tyler Johnson,MIA,104.1
3,Jabari Brown,LAL,116.9
4,Zoran Dragic,MIA,102.3
5,Gary Neal,MIN,104.8
6,Jimmy Butler,CHI,102.7
7,Isaiah Thomas,BOS,80.3
8,Sebastian Telfair,OKC,98.7
9,James Harden,HOU,103.5
10,Lorenzo Brown,MIN,119.3
11,Kyrie Irving,CLE,104.8
12,Glenn Robinson III,PHI,100
13,Tyler Ennis,MIL,102.9
14,Andrew Wiggins,MIN,111.3
15,John Wall,WAS,99.6
16,Victor Oladipo,ORL,108.2
17,Damian Lillard,POR,103.6
18,Jarrett Jack,BKN,108.7
19,Ty Lawson,DEN,107.6
20,D.J. Augustin,OKC,107.7
21,Tim Frazier,POR,87.7
22,DeMar DeRozan,TOR,105.6
23,Erick Green,DEN,115.7
24,Kemba Walker,CHA,104.1
25,Jamal Crawford,LAC,111.9
26,Joe Johnson,BKN,107
27,Chris Paul,LAC,104
28,Darren Collison,SAC,105.7
29,Cory Joseph,SAS,102.3
30,Eric Bledsoe,PHX,103.9
31,Kyle Lowry,TOR,105.4
32,Kobe Bryant,LAL,113.9
33,Reggie Jackson,DET,104.3
34,Russell Westbrook,OKC,106.3
35,Devin Harris,DAL,94
36,Tyreke Evans,NOP,106.1
37,Kevin Martin,MIN,112
38,Mo Williams,CHA,105
39,Brian Roberts,CHA,91.5
40,Goran Dragic,MIA,105.7
41,Monta Ellis,DAL,104.5
42,Wesley Matthews,POR,99.3
43,Matthew Dellavedova,CLE,105.1
44,Jrue Holiday,NOP,106.6
45,Dion Waiters,OKC,107.7
46,Bradley Beal,WAS,101.1
47,Zach LaVine,MIN,112.6
48,Alec Burks,UTA,112.3
49,Tony Wroten,PHI,110.2
50,Evan Fournier,ORL,107.1
