Column 1,player,team,defense rating
1,Ray McCallum,SAC,110.7
2,Troy Daniels,HOU,119
3,J.J. Barea,MIN,98.7
4,Jimmy Butler,CHI,98.9
5,DeMar DeRozan,TOR,104.6
6,D.J. Augustin,CHI,105.1
7,James Harden,HOU,104.9
8,Ramon Sessions,MIL,109.3
9,Martell Webster,WAS,103.6
10,Norris Cole,MIA,105.3
11,Isaiah Thomas,SAC,106.6
12,Monta Ellis,DAL,108.2
13,Aaron Brooks,DEN,108.5
14,Jamal Crawford,LAC,103.5
15,Stephen Curry,GSW,101
16,Gordon Hayward,UTA,110.2
17,John Wall,WAS,102.5
18,Paul George,IND,98
19,Kyle Lowry,TOR,104.3
20,Nick Calathes,MEM,99.6
21,Ty Lawson,DEN,109.2
22,Damian Lillard,POR,105.5
23,Kemba Walker,CHA,100.9
24,Austin Rivers,NOP,116.2
25,Ish Smith,PHX,115.9
26,Victor Oladipo,ORL,107
27,Klay Thompson,GSW,100.3
28,Lance Stephenson,IND,99
29,Tyreke Evans,NOP,112.4
30,Goran Dragic,PHX,105.5
31,Kyrie Irving,CLE,108.6
32,Evan Turner,IND,107.4
33,Chris Paul,LAC,101.9
34,Evan Fournier,DEN,103.4
35,Arron Afflalo,ORL,108
36,Patty Mills,SAS,94.5
37,Bradley Beal,WAS,102.7
38,Michael Carter-Williams,PHI,109.1
39,JR Smith,NYK,109.1
40,Brandon Jennings,DET,109.1
41,Tony Wroten,PHI,113.2
42,Rasual Butler,IND,94.7
43,Kyle Korver,ATL,103
44,Wesley Matthews,POR,105.7
45,Jodie Meeks,LAL,111.5
46,Brandon Knight,MIL,111.4
47,Darren Collison,LAC,105.7
48,Jrue Holiday,NOP,107.4
49,Steve Blake,GSW,105.5
50,Mike Conley,MEM,104.1
1,Ray McCallum,SAC,110.7
2,Troy Daniels,HOU,119
3,J.J. Barea,MIN,98.7
4,Jimmy Butler,CHI,98.9
5,DeMar DeRozan,TOR,104.6
6,D.J. Augustin,CHI,105.1
7,James Harden,HOU,104.9
8,Ramon Sessions,MIL,109.3
9,Martell Webster,WAS,103.6
10,Norris Cole,MIA,105.3
11,Isaiah Thomas,SAC,106.6
12,Monta Ellis,DAL,108.2
13,Aaron Brooks,DEN,108.5
14,Jamal Crawford,LAC,103.5
15,Stephen Curry,GSW,101
16,Gordon Hayward,UTA,110.2
17,John Wall,WAS,102.5
18,Paul George,IND,98
19,Kyle Lowry,TOR,104.3
20,Nick Calathes,MEM,99.6
21,Ty Lawson,DEN,109.2
22,Damian Lillard,POR,105.5
23,Kemba Walker,CHA,100.9
24,Austin Rivers,NOP,116.2
25,Ish Smith,PHX,115.9
26,Victor Oladipo,ORL,107
27,Klay Thompson,GSW,100.3
28,Lance Stephenson,IND,99
29,Tyreke Evans,NOP,112.4
30,Goran Dragic,PHX,105.5
31,Kyrie Irving,CLE,108.6
32,Evan Turner,IND,107.4
33,Chris Paul,LAC,101.9
34,Evan Fournier,DEN,103.4
35,Arron Afflalo,ORL,108
36,Patty Mills,SAS,94.5
37,Bradley Beal,WAS,102.7
38,Michael Carter-Williams,PHI,109.1
39,JR Smith,NYK,109.1
40,Brandon Jennings,DET,109.1
41,Tony Wroten,PHI,113.2
42,Rasual Butler,IND,94.7
43,Kyle Korver,ATL,103
44,Wesley Matthews,POR,105.7
45,Jodie Meeks,LAL,111.5
46,Brandon Knight,MIL,111.4
47,Darren Collison,LAC,105.7
48,Jrue Holiday,NOP,107.4
49,Steve Blake,GSW,105.5
50,Mike Conley,MEM,104.1
