Column 1,player,team,defense rating
1,Malik Beasley,DEN,94.4
2,Langston Galloway,SAC,103.3
3,Tyler Ulis,PHX,113.7
4,Tyler Ennis,LAL,101.2
5,Kyle Lowry,TOR,106.4
6,Zach LaVine,MIN,111.2
7,Brandon Jennings,WAS,116.7
8,James Harden,HOU,108.9
9,John Wall,WAS,108.8
10,Damian Lillard,POR,110.4
11,Jamal Crawford,LAC,97.4
12,Giannis Antetokounmpo,MIL,107.5
13,DeMar DeRozan,TOR,108.7
14,Jordan Clarkson,LAL,117.9
15,Kyrie Irving,CLE,110.3
16,Devin Booker,PHX,111.6
17,CJ McCollum,POR,108.9
18,Bradley Beal,WAS,107.9
19,Pat Connaughton,POR,104.5
20,Kemba Walker,CHA,107.4
21,Russell Westbrook,OKC,106.1
22,Austin Rivers,LAC,110.7
23,Josh Richardson,MIA,106.9
24,Wesley Matthews,DAL,107.7
25,Marcus Smart,BOS,104.8
26,Nicolas Batum,CHA,108.2
27,Klay Thompson,GSW,102.4
28,Raymond Felton,LAC,109.7
29,Isaiah Thomas,BOS,110.5
30,Tim Hardaway Jr.,ATL,108.8
31,Goran Dragic,MIA,107.3
32,Eric Gordon,HOU,108.7
33,Kentavious Caldwell-Pope,DET,108.6
34,Stephen Curry,GSW,102.7
35,Mike Conley,MEM,106.4
36,Avery Bradley,BOS,108.7
37,J.J. Barea,DAL,102.3
38,Jrue Holiday,NOP,104.3
39,Victor Oladipo,OKC,102.6
40,Evan Fournier,ORL,108.5
41,Eric Bledsoe,PHX,111.6
42,Allen Crabbe,POR,105.6
43,Ricky Rubio,MIN,111.3
44,Jamal Murray,DEN,101.7
45,Khris Middleton,MIL,103.3
46,Derrick Rose,NYK,113
47,Will Barton,DEN,108.4
48,Jeff Teague,IND,107.9
49,Cory Joseph,TOR,106.1
50,Ramon Sessions,CHA,96.9
1,Malik Beasley,DEN,94.4
2,Langston Galloway,SAC,103.3
3,Tyler Ulis,PHX,113.7
4,Tyler Ennis,LAL,101.2
5,Kyle Lowry,TOR,106.4
6,Zach LaVine,MIN,111.2
7,Brandon Jennings,WAS,116.7
8,James Harden,HOU,108.9
9,John Wall,WAS,108.8
10,Damian Lillard,POR,110.4
11,Jamal Crawford,LAC,97.4
12,Giannis Antetokounmpo,MIL,107.5
13,DeMar DeRozan,TOR,108.7
14,Jordan Clarkson,LAL,117.9
15,Kyrie Irving,CLE,110.3
16,Devin Booker,PHX,111.6
17,CJ McCollum,POR,108.9
18,Bradley Beal,WAS,107.9
19,Pat Connaughton,POR,104.5
20,Kemba Walker,CHA,107.4
21,Russell Westbrook,OKC,106.1
22,Austin Rivers,LAC,110.7
23,Josh Richardson,MIA,106.9
24,Wesley Matthews,DAL,107.7
25,Marcus Smart,BOS,104.8
26,Nicolas Batum,CHA,108.2
27,Klay Thompson,GSW,102.4
28,Raymond Felton,LAC,109.7
29,Isaiah Thomas,BOS,110.5
30,Tim Hardaway Jr.,ATL,108.8
31,Goran Dragic,MIA,107.3
32,Eric Gordon,HOU,108.7
33,Kentavious Caldwell-Pope,DET,108.6
34,Stephen Curry,GSW,102.7
35,Mike Conley,MEM,106.4
36,Avery Bradley,BOS,108.7
37,J.J. Barea,DAL,102.3
38,Jrue Holiday,NOP,104.3
39,Victor Oladipo,OKC,102.6
40,Evan Fournier,ORL,108.5
41,Eric Bledsoe,PHX,111.6
42,Allen Crabbe,POR,105.6
43,Ricky Rubio,MIN,111.3
44,Jamal Murray,DEN,101.7
45,Khris Middleton,MIL,103.3
46,Derrick Rose,NYK,113
47,Will Barton,DEN,108.4
48,Jeff Teague,IND,107.9
49,Cory Joseph,TOR,106.1
50,Ramon Sessions,CHA,96.9
